Group,Gene
8,Os07g0564700
8,Os04g0669300
8,Os07g0693700
8,Os01g0813500
8,Os04g0681400
8,Os03g0804300
8,Os06g0687800
8,Os02g0797700
8,Os07g0564600
8,Os01g0329400
8,Os08g0496900
8,Os01g0708300
